50;8;11;2021;Ricardo;cra 20-4;385746;20103;34
2833;16;10;2021;juanito;cra 345;376464;9384;134
3764;16;11;2021;pepe;cra 125;363644;20183;34
22;18;10;2021;Cristian;cra 12 65;3104572643;201008;144
32;20;10;2021;Carlos R;cra 9 45;318744654;201008;345
20;10;10;2021;Mateo;cra 17 a;318475756;20556;35
24;10;10;2021;Mateo;cra 26 B;310477556;201998;634
29;10;10;2021;Pepe;car 19 B 7;310474655;201873;45
34;10;11;2021;Alex;cra 12 8 a;310474675;2018;54
28;6;7;2021;Lina;cra 18 7 b;32104775;208346;32
2464744;6;4;2021;Ricardo;Cra 12 19B 7A;31049567655;200004;201
2738477;30;12;2021;Erica;cra 12 B a;3104746655;200001;204
3444542;22;6;2021;Lorena P;Cra 23 - A 5;3004568585;200004;201
